ImageNumber,ObjectNumber,FileName_Spindle,PathName_Spindle,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
39,41,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,248,2701.1975806451615,2403.3467741935483,63.88082816777229,6.189026464873159,54.421540875430544,2701.1975806451615,2403.3467741935483,0,41
39,42,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,429,2892.3986013986014,2445.806526806527,98.46686556575325,7.02494118447791,8.071971299440236,2892.3986013986014,2445.806526806527,0,42
39,43,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,293,2677.174061433447,2535.740614334471,77.25425961665674,5.190536356940791,38.452547656297355,2677.174061433447,2535.740614334471,0,43
39,44,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,202,967.940594059406,2547.539603960396,48.963715739354214,6.994885696632981,-52.12764378309537,967.940594059406,2547.539603960396,0,44
39,45,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,265,1172.7471698113206,2549.3811320754717,62.238658229366074,6.689798875318435,-62.16363232446486,1172.7471698113206,2549.3811320754717,0,45
39,46,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,315,2694.7428571428572,2690.873015873016,72.70957742274058,7.039218612596924,5.0364709359461335,2694.7428571428572,2690.873015873016,0,46
39,47,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,376,2395.5159574468084,2776.779255319149,102.25203211018194,6.024233989476461,42.65586301527964,2395.5159574468084,2776.779255319149,0,47
39,48,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,155,1684.4129032258065,2767.1612903225805,39.73183544612136,5.708378132751556,-30.743702661358604,1684.4129032258065,2767.1612903225805,0,48
39,49,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,201,908.0696517412936,2803.8407960199006,55.60718052200871,5.661698989539624,-41.72445245737173,908.0696517412936,2803.8407960199006,0,49
39,50,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,389,1308.5964010282776,3064.439588688946,87.91487686863469,8.166722891236914,-13.915407341417776,1308.5964010282776,3064.439588688946,0,50
39,51,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,324,1168.891975308642,3110.08024691358,73.01336941058061,6.2037520871248555,19.361936404625443,1168.891975308642,3110.08024691358,0,51
39,52,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,406,2118.591133004926,3184.881773399015,93.09090435288736,6.069621338593642,-13.365980216898803,2118.591133004926,3184.881773399015,0,52
39,53,AurA_June7_A_5_frontface_z345c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,255,1703.4666666666667,3405.964705882353,63.18165341565564,5.879324220216383,37.773613918709735,1703.4666666666667,3405.964705882353,0,53
40,1,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,426,1835.011737089202,674.1830985915493,99.39229561480613,6.186014030055703,60.39051184057396,1835.011737089202,674.1830985915493,0,1
40,2,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,220,2201.259090909091,706.7636363636364,52.12077131900257,5.877769331885183,71.62498942419488,2201.259090909091,706.7636363636364,0,2
40,3,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,350,2306.902857142857,740.9885714285714,90.50664254017607,5.731642121670989,-43.2612634285837,2306.902857142857,740.9885714285714,0,3
40,4,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,243,1463.4897119341563,770.559670781893,55.23685334296478,6.274260836744108,79.0580877549115,1463.4897119341563,770.559670781893,0,4
40,5,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,200,1627.25,788.195,46.35550208326662,5.854829340660932,-8.132995548406367,1627.25,788.195,0,5
40,6,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,322,2476.7329192546586,779.5962732919255,73.736248098575,6.430639489087124,76.24697742209993,2476.7329192546586,779.5962732919255,0,6
40,7,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,468,1792.423076923077,801.7948717948718,108.8260618805286,6.119940609503952,70.84979645952244,1792.423076923077,801.7948717948718,0,7
